# reltime ampl
1.800000e+00 1.197718e+01
1.809091e+00 1.204359e+01
1.818182e+00 1.210898e+01
1.827273e+00 1.217334e+01
1.836364e+00 1.223665e+01
1.845455e+00 1.229892e+01
1.854545e+00 1.236013e+01
1.863636e+00 1.242028e+01
1.872727e+00 1.247936e+01
1.881818e+00 1.253736e+01
1.890909e+00 1.259428e+01
1.900000e+00 1.265011e+01
1.909091e+00 1.270485e+01
1.918182e+00 1.275848e+01
1.927273e+00 1.281101e+01
1.936364e+00 1.286243e+01
1.945455e+00 1.291273e+01
1.954545e+00 1.296191e+01
1.963636e+00 1.300997e+01
1.972727e+00 1.305689e+01
1.981818e+00 1.310269e+01
1.990909e+00 1.314736e+01
2.000000e+00 1.319088e+01
2.009091e+00 1.323327e+01
2.018182e+00 1.327452e+01
2.027273e+00 1.331462e+01
2.036364e+00 1.335357e+01
2.045455e+00 1.339138e+01
2.054545e+00 1.342804e+01
2.063636e+00 1.346355e+01
2.072727e+00 1.349790e+01
2.081818e+00 1.353111e+01
2.090909e+00 1.356317e+01
2.100000e+00 1.359408e+01
2.109091e+00 1.362383e+01
2.118182e+00 1.365244e+01
2.127273e+00 1.367989e+01
2.136364e+00 1.370620e+01
2.145455e+00 1.373137e+01
2.154545e+00 1.375538e+01
2.163636e+00 1.377826e+01
2.172727e+00 1.379999e+01
2.181818e+00 1.382058e+01
2.190909e+00 1.384004e+01
2.200000e+00 1.385836e+01
2.209091e+00 1.387555e+01
2.218182e+00 1.389162e+01
2.227273e+00 1.390656e+01
2.236364e+00 1.392038e+01
2.245455e+00 1.393308e+01
2.254545e+00 1.394467e+01
2.263636e+00 1.395515e+01
2.272727e+00 1.396452e+01
2.281818e+00 1.397280e+01
2.290909e+00 1.397998e+01
2.300000e+00 1.398607e+01
2.309091e+00 1.399108e+01
2.318182e+00 1.399500e+01
2.327273e+00 1.399785e+01
2.336364e+00 1.399963e+01
2.345455e+00 1.400035e+01
2.354545e+00 1.400001e+01
2.363636e+00 1.399862e+01
2.372727e+00 1.399619e+01
2.381818e+00 1.399272e+01
2.390909e+00 1.398821e+01
2.400000e+00 1.398268e+01
2.409091e+00 1.397614e+01
2.418182e+00 1.396858e+01
2.427273e+00 1.396002e+01
2.436364e+00 1.395046e+01
2.445455e+00 1.393992e+01
2.454545e+00 1.392839e+01
2.463636e+00 1.391589e+01
2.472727e+00 1.390242e+01
2.481818e+00 1.388799e+01
2.490909e+00 1.387262e+01
2.500000e+00 1.385630e+01
2.509091e+00 1.383905e+01
2.518182e+00 1.382088e+01
2.527273e+00 1.380178e+01
2.536364e+00 1.378178e+01
2.545455e+00 1.376088e+01
2.554545e+00 1.373909e+01
2.563636e+00 1.371642e+01
2.572727e+00 1.369287e+01
2.581818e+00 1.366846e+01
2.590909e+00 1.364320e+01
2.600000e+00 1.361709e+01
2.609091e+00 1.359014e+01
2.618182e+00 1.356237e+01
2.627273e+00 1.353377e+01
2.636364e+00 1.350437e+01
2.645455e+00 1.347417e+01
2.654545e+00 1.344319e+01
2.663636e+00 1.341142e+01
2.672727e+00 1.337888e+01
2.681818e+00 1.334558e+01
2.690909e+00 1.331153e+01
2.700000e+00 1.327674e+01
2.709091e+00 1.324122e+01
2.718182e+00 1.320497e+01
2.727273e+00 1.316802e+01
2.736364e+00 1.313036e+01
2.745455e+00 1.309202e+01
2.754545e+00 1.305299e+01
2.763636e+00 1.301329e+01
2.772727e+00 1.297293e+01
2.781818e+00 1.293191e+01
2.790909e+00 1.289026e+01
2.800000e+00 1.284798e+01
2.809091e+00 1.280507e+01
2.818182e+00 1.276155e+01
2.827273e+00 1.271744e+01
2.836364e+00 1.267273e+01
2.845455e+00 1.262744e+01
2.854545e+00 1.258158e+01
2.863636e+00 1.253516e+01
2.872727e+00 1.248819e+01
2.881818e+00 1.244068e+01
2.890909e+00 1.239264e+01
2.900000e+00 1.234408e+01
2.909091e+00 1.229502e+01
2.918182e+00 1.224545e+01
2.927273e+00 1.219539e+01
2.936364e+00 1.214485e+01
2.945455e+00 1.209385e+01
2.954545e+00 1.204238e+01
2.963636e+00 1.199046e+01
2.972727e+00 1.193811e+01
2.981818e+00 1.188532e+01
2.990909e+00 1.183212e+01
3.000000e+00 1.177850e+01
3.009091e+00 1.172449e+01
3.018182e+00 1.167008e+01
3.027273e+00 1.161530e+01
3.036364e+00 1.156014e+01
3.045455e+00 1.150462e+01
3.054545e+00 1.144875e+01
3.063636e+00 1.139254e+01
3.072727e+00 1.133600e+01
3.081818e+00 1.127913e+01
3.090909e+00 1.122195e+01
3.100000e+00 1.116447e+01
3.109091e+00 1.110669e+01
3.118182e+00 1.104862e+01
3.127273e+00 1.099028e+01
3.136364e+00 1.093168e+01
3.145455e+00 1.087281e+01
3.154545e+00 1.081370e+01
3.163636e+00 1.075434e+01
3.172727e+00 1.069476e+01
3.181818e+00 1.063495e+01
3.190909e+00 1.057494e+01
3.200000e+00 1.051471e+01
3.209091e+00 1.045429e+01
3.218182e+00 1.039369e+01
3.227273e+00 1.033291e+01
3.236364e+00 1.027195e+01
3.245455e+00 1.021084e+01
3.254545e+00 1.014957e+01
3.263636e+00 1.008816e+01
3.272727e+00 1.002661e+01
3.281818e+00 9.964938e+00
3.290909e+00 9.903143e+00
3.300000e+00 9.841236e+00
3.309091e+00 9.779226e+00
3.318182e+00 9.717119e+00
3.327273e+00 9.654925e+00
3.336364e+00 9.592650e+00
3.345455e+00 9.530303e+00
3.354545e+00 9.467891e+00
3.363636e+00 9.405421e+00
3.372727e+00 9.342902e+00
3.381818e+00 9.280340e+00
3.390909e+00 9.217743e+00
3.400000e+00 9.155117e+00
3.409091e+00 9.092471e+00
3.418182e+00 9.029812e+00
3.427273e+00 8.967145e+00
3.436364e+00 8.904479e+00
3.445455e+00 8.841819e+00
3.454545e+00 8.779174e+00
3.463636e+00 8.716549e+00
3.472727e+00 8.653951e+00
3.481818e+00 8.591387e+00
3.490909e+00 8.528862e+00
3.500000e+00 8.466384e+00
3.509091e+00 8.403959e+00
3.518182e+00 8.341593e+00
3.527273e+00 8.279292e+00
3.536364e+00 8.217061e+00
3.545455e+00 8.154908e+00
3.554545e+00 8.092838e+00
3.563636e+00 8.030857e+00
3.572727e+00 7.968970e+00
3.581818e+00 7.907183e+00
3.590909e+00 7.845501e+00
3.600000e+00 7.783931e+00
3.609091e+00 7.722477e+00
3.618182e+00 7.661145e+00
3.627273e+00 7.599940e+00
3.636364e+00 7.538868e+00
3.645455e+00 7.477932e+00
3.654545e+00 7.417139e+00
3.663636e+00 7.356493e+00
3.672727e+00 7.295999e+00
3.681818e+00 7.235661e+00
3.690909e+00 7.175485e+00
3.700000e+00 7.115475e+00
3.709091e+00 7.055636e+00
3.718182e+00 6.995972e+00
3.727273e+00 6.936486e+00
3.736364e+00 6.877185e+00
3.745455e+00 6.818071e+00
3.754545e+00 6.759149e+00
3.763636e+00 6.700422e+00
3.772727e+00 6.641896e+00
3.781818e+00 6.583574e+00
3.790909e+00 6.525459e+00
3.800000e+00 6.467555e+00
3.809091e+00 6.409866e+00
3.818182e+00 6.352396e+00
3.827273e+00 6.295148e+00
3.836364e+00 6.238125e+00
3.845455e+00 6.181331e+00
3.854545e+00 6.124769e+00
3.863636e+00 6.068442e+00
3.872727e+00 6.012354e+00
3.881818e+00 5.956507e+00
3.890909e+00 5.900905e+00
3.900000e+00 5.845550e+00
3.909091e+00 5.790445e+00
3.918182e+00 5.735593e+00
3.927273e+00 5.680997e+00
3.936364e+00 5.626659e+00
3.945455e+00 5.572582e+00
3.954545e+00 5.518768e+00
3.963636e+00 5.465220e+00
3.972727e+00 5.411940e+00
3.981818e+00 5.358931e+00
3.990909e+00 5.306194e+00
4.000000e+00 5.253732e+00
4.009091e+00 5.201547e+00
4.018182e+00 5.149640e+00
4.027273e+00 5.098015e+00
4.036364e+00 5.046672e+00
4.045455e+00 4.995614e+00
4.054545e+00 4.944842e+00
4.063636e+00 4.894358e+00
4.072727e+00 4.844164e+00
4.081818e+00 4.794261e+00
4.090909e+00 4.744651e+00
4.100000e+00 4.695335e+00
4.109091e+00 4.646315e+00
4.118182e+00 4.597591e+00
4.127273e+00 4.549166e+00
4.136364e+00 4.501040e+00
4.145455e+00 4.453215e+00
4.154545e+00 4.405692e+00
4.163636e+00 4.358471e+00
4.172727e+00 4.311554e+00
4.181818e+00 4.264942e+00
4.190909e+00 4.218635e+00
4.200000e+00 4.172635e+00
4.209091e+00 4.126942e+00
4.218182e+00 4.081557e+00
4.227273e+00 4.036480e+00
4.236364e+00 3.991713e+00
4.245455e+00 3.947255e+00
4.254545e+00 3.903108e+00
4.263636e+00 3.859272e+00
4.272727e+00 3.815746e+00
4.281818e+00 3.772533e+00
4.290909e+00 3.729631e+00
4.300000e+00 3.687041e+00
4.309091e+00 3.644764e+00
4.318182e+00 3.602800e+00
4.327273e+00 3.561148e+00
4.336364e+00 3.519809e+00
4.345455e+00 3.478784e+00
4.354545e+00 3.438071e+00
4.363636e+00 3.397671e+00
4.372727e+00 3.357583e+00
4.381818e+00 3.317809e+00
4.390909e+00 3.278347e+00
4.400000e+00 3.239198e+00
4.409091e+00 3.200360e+00
4.418182e+00 3.161835e+00
4.427273e+00 3.123621e+00
4.436364e+00 3.085718e+00
4.445455e+00 3.048126e+00
4.454545e+00 3.010845e+00
4.463636e+00 2.973874e+00
4.472727e+00 2.937212e+00
4.481818e+00 2.900859e+00
4.490909e+00 2.864814e+00
4.500000e+00 2.829077e+00
4.509091e+00 2.793648e+00
4.518182e+00 2.758525e+00
4.527273e+00 2.723707e+00
4.536364e+00 2.689195e+00
4.545455e+00 2.654987e+00
4.554545e+00 2.621083e+00
4.563636e+00 2.587481e+00
4.572727e+00 2.554182e+00
4.581818e+00 2.521183e+00
4.590909e+00 2.488485e+00
4.600000e+00 2.456086e+00
4.609091e+00 2.423985e+00
4.618182e+00 2.392181e+00
4.627273e+00 2.360674e+00
4.636364e+00 2.329462e+00
4.645455e+00 2.298544e+00
4.654545e+00 2.267919e+00
4.663636e+00 2.237587e+00
4.672727e+00 2.207545e+00
4.681818e+00 2.177793e+00
4.690909e+00 2.148330e+00
4.700000e+00 2.119154e+00
4.709091e+00 2.090264e+00
4.718182e+00 2.061660e+00
4.727273e+00 2.033339e+00
4.736364e+00 2.005300e+00
4.745455e+00 1.977543e+00
4.754545e+00 1.950066e+00
4.763636e+00 1.922867e+00
4.772727e+00 1.895946e+00
4.781818e+00 1.869300e+00
4.790909e+00 1.842929e+00
4.800000e+00 1.816831e+00
4.809091e+00 1.791005e+00
4.818182e+00 1.765449e+00
4.827273e+00 1.740162e+00
4.836364e+00 1.715143e+00
4.845455e+00 1.690389e+00
4.854545e+00 1.665900e+00
4.863636e+00 1.641674e+00
4.872727e+00 1.617709e+00
4.881818e+00 1.594005e+00
4.890909e+00 1.570558e+00
4.900000e+00 1.547369e+00
